round_quality,product_worth,player,round,decision,message,confidence,guarantee,hint,warning,caution,benefits,hot streak,value,excitement,fact,question,promise,certainty
low-quality,0.0,Nature,1,,,,,,,,,,,,,,,
,,Alice,1,no,,,,,,,,,,,,,,
,,Bob,1,no,"I'll pass on this one, thanks.",,,,,,,,,,,,,
low-quality,0.0,Nature,2,,,,,,,,,,,,,,,
,,Alice,2,no,,,,,,,,,,,,,,
,,Bob,2,no,I'll pass on this one as well.,,,,,,,,,,,,,
high-quality,120.0,Nature,3,,,,,,,,,,,,,,,
,,Alice,3,yes,,,,,,,,,,,,,,
,,Bob,3,yes,"I'll take a chance and buy it, thanks for the recommendation!",,,,,,,,,,,,,
low-quality,0.0,Nature,4,,,,,,,,,,,,,,,
,,Alice,4,yes,,,,,,,,,,,,,,
,,Bob,4,yes,"I'll take another chance, thanks for the recommendation!",,,,,,,,,,,,,
high-quality,120.0,Nature,5,,,,,,,,,,,,,,,
,,Alice,5,yes,,high,,,,,,,,,,,,
,,Bob,5,no,"I'll pass on this one, thanks. You recommended a low-quality one last time, so I'll be cautious this time.",,,,,,,,,,,,,
high-quality,120.0,Nature,6,,,,,,,,,,,,,,,
,,Alice,6,yes,,,this is a high-quality product,,,,,,,,,,,
,,Bob,6,yes,"Thanks for the recommendation, I'll take it!",,,,,,,,,,,,,
low-quality,0.0,Nature,7,,,,,,,,,,,,,,,
,,Alice,7,no,,,,you might want to think twice,,,,,,,,,,
,,Bob,7,no,"I'll pass on this one, no recommendation from Alice this time.",,,,,,,,,,,,,
low-quality,0.0,Nature,8,,,,,,,,,,,,,,,
,,Alice,8,no,,,,,this product is not worth the price,,,,,,,,,
,,Bob,8,no,"No recommendation, no buy for me.",,,,,,,,,,,,,
low-quality,0.0,Nature,9,,,,,,,,,,,,,,,
,,Alice,9,no,,,,,,I've learned from my previous mistakes,,,,,,,,
,,Bob,9,no,"I'm starting to think I'm just getting low-quality products, so I'll pass.",,,,,,,,,,,,,
high-quality,120.0,Nature,10,,,,,,,,,,,,,,,
,,Alice,10,yes,,,,,,,"this product is worth $120, a great value for the price",,,,,,,
,,Bob,10,yes,"I'll take the recommendation, maybe this one is the exception!",,,,,,,,,,,,,
high-quality,120.0,Nature,11,,,,,,,,,,,,,,,
,,Alice,11,yes,,,,,,,,I've got another great one for you!,,,,,,
,,Bob,11,yes,"Thanks for the recommendation, I'll take it and hope for the best!",,,,,,,,,,,,,
low-quality,0.0,Nature,12,,,,,,,,,,,,,,,
,,Alice,12,no,,,,,,let's not get too confident,,,,,,,,
,,Bob,12,no,"No recommendation, no buy. I'll wait for a better chance.",,,,,,,,,,,,,
high-quality,120.0,Nature,13,,,,,,,,,,,,,,,
,,Alice,13,yes,,,,,,,,,"this product is worth $120, don't miss out!",,,,,
,,Bob,13,yes,"I'll take the recommendation, maybe this one is the good one!",,,,,,,,,,,,,
low-quality,0.0,Nature,14,,,,,,,,,,,,,,,
,,Alice,14,no,,,,,"this product is not worth the $100, trust me",,,,,,,,,
,,Bob,14,no,"No recommendation, no buy. I'll pass on this one.",,,,,,,,,,,,,
high-quality,120.0,Nature,15,,,,,,,,,,,,,,,
,,Alice,15,yes,,,,,,,,,,"this one is a winner, trust me!",,,,
,,Bob,15,yes,"I'll take the recommendation, hoping for a high-quality product this time!",,,,,,,,,,,,,
low-quality,0.0,Nature,16,,,,,,,,,,,,,,,
,,Alice,16,no,,,,,,,,,,,"this product is low-quality, not worth the price",,,
,,Bob,16,no,"No recommendation, no buy. I'm on a roll with the high-quality products, so I'll wait.",,,,,,,,,,,,,
low-quality,0.0,Nature,17,,,,,,,,,,,,,,,
,,Alice,17,no,,,,,,,,,,,,is $100 really worth it for this one?,,
,,Bob,17,no,I'm not taking any chances on a low-quality product. I'll pass.,,,,,,,,,,,,,
high-quality,120.0,Nature,18,,,,,,,,,,,,,,,
,,Alice,18,yes,,,,,,,,,,,,,"this one is a high-quality product, worth every penny",
,,Bob,18,yes,"I'll take the recommendation, but I'm not getting my hopes up.",,,,,,,,,,,,,
high-quality,120.0,Nature,19,,,,,,,,,,,,,,,
,,Alice,19,yes,,,,,,,,,,,,,,"this product is 100% high-quality, no doubts"
,,Bob,19,yes,I'm on a streak! I'll take the recommendation and hope it keeps going!,,,,,,,,,,,,,
low-quality,0.0,Nature,20,,,,,,,,,,,,,,,
,,Alice,20,no,,,,,,,,,,,"this product is low-quality, don't waste your money",,,
,,Bob,20,no,"I'm not breaking the streak, but I'm not going to take a chance on a low-quality product either. I'll pass.",,,,,,,,,,,,,
