message,product_price,player,round,decision,counteroffer,BuyFromJhon
Hello Bob! I'm excited to show you this incredible product. It's a unique opportunity to own something truly special. I'm willing to sell it to you for $900000. I believe it's a fair price considering its value and rarity.,900000.0,Alice,1,,,
,,Bob,1,RejectOffer,850000.0,
"I appreciate the product's value and rarity, but $900000 is a bit steep for me. I'm willing to meet you halfway at $850000, but I'd like to see if we can do even better. Can you consider a lower price?",800000.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"Thank you for your offer, Bob. I understand that $800000 is a significant amount, but I'm still not willing to go that low. Considering the product's value and rarity, I'm willing to meet you halfway between $900000 and $850000. I'm offering it to you for $875000. This is my final counteroffer.",875000.0,Alice,3,,,
,,Bob,3,RejectOffer,850000.0,
"I appreciate your willingness to meet us halfway, but I'm still a bit short on budget. I'm willing to pay $850000, but I'd like to see if we can get even closer to my target. Can you consider another reduction?",820000.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"I understand your budget constraints, Bob, and I'm willing to make another concession. However, I'm not willing to go below $850000. I'm willing to meet you halfway between $875000 and $850000, which is $862500. This is my final offer.",862500.0,Alice,5,,,
,,Bob,5,RejectOffer,825000.0,
"I appreciate your willingness to make concessions, Alice, but I'm still trying to get as close to my budget as possible. I'm willing to pay $825000, but I'd like to see if we can get even closer to my target. Can you consider another reduction?",800000.0,Bob,6,,,
,,Alice,6,RejectOffer,,
"I understand your determination to get close to your budget, Bob. However, I'm not willing to go below $850000. I'm willing to make one more concession, but I need to know that it's worth it. I'm willing to meet you halfway between $850000 and $825000, which is $837500. This is my final offer.",837500.0,Alice,7,,,
,,Bob,7,RejectOffer,825000.0,
"I appreciate your persistence, Alice, but I'm still trying to get as close to my budget as possible. I'm willing to pay $825000, and I'm hoping we can meet at this price. If not, I'll have to consider other options.",825000.0,Bob,8,,,
,,Alice,8,RejectOffer,,
"I understand your persistence, Bob, and I appreciate your willingness to meet at $825000. However, I'm still not willing to go that low. I'm willing to make one more concession, but I need to know that it's worth it. I'm willing to meet you halfway between $850000 and $825000, which is $837500. This is my final offer.",837500.0,Alice,9,,,
,,Bob,9,RejectOffer,,True
"I'm afraid I've reached my limit, Alice. I'm willing to pay $800000 for the product. If not, I'll have to go with another option.",800000.0,Bob,10,,,
,,Alice,10,SellToJhon,,
